Fat.grams,FoodEnergy.calories,Carbohydrates.grams,Protein.grams,Cholesterol.mg,Weight.grams,SaturatedFat.grams
13,205,0,22,78,85,5.6
22,430,40,17,44,200,9.8
13,470,65,29,0,276,1.8
0,245,35,24,12,68,0.3
1,325,47,32,17,91,0.4
11,185,7,16,66,85,2.6
4,160,8,20,120,240,1.4
30,455,4,42,79,100,19.1
9,290,39,15,56,120,4.1
8,165,0,23,71,72,2.6
19,275,0,24,84,87,7
11,180,0,19,72,67,3.7
27,335,0,21,92,89,9.8
8,160,0,20,68,72,2.7
18,250,0,21,79,85,6.4
10,175,0,20,56,71,3.4
20,270,0,21,69,85,7.2
8,165,0,22,76,67,2.8
22,295,0,23,93,85,7.9
7,140,0,18,35,85,2.4
4,105,0,17,37,68,1.3
14,205,0,18,53,85,5.1
21,360,28,7,170,250,3.6
19,325,28,12,56,245,11.6
19,340,13,28,76,246,12.1
32,430,7,28,124,246,20.4
13,345,34,22,55,150,3.5
5,140,0,21,60,85,1.2
5,120,0,17,34,85,0.9
8,150,0,18,51,85,2.6
9,175,0,20,85,85,2.1
10,195,10,15,70,90,2.5
2,80,7,16,0,28.35,0.8
1,100,1,21,128,85,0.2
10,200,11,16,168,85,2.5
10,235,19,20,0,180,1.3
12,330,39,19,89,248,3.9
18,220,3,11,184,136,7.1
9,175,0,21,71,85,4.1
19,375,19,33,80,205,3.3
7,165,0,24,55,85,1.4
1,135,0,30,48,85,0.3
5,130,3,18,45,85,1.6
6,160,0,24,72,85,2.1
3,135,0,25,59,85,0.9
7,240,0,41,106,140,2.3
4,145,0,25,65,85,1.4
9,185,0,23,86,85,4.1
14,230,0,23,109,85,6
328,6175,775,63,1183,1536,66
139,2710,351,20,46,910,90.1
136,3755,645,49,598,1107,55.6
228,5185,783,74,640,1361,47.6
190,2805,256,33,703,1188,118.3
129,4020,694,37,636,1096,41.6
148,4170,670,43,46,1140,33.1
125,3735,638,45,576,1108,47.8
175,3895,620,40,609,1108,92
213,3350,317,60,2053,1110,119.9
101,1985,213,56,1010,910,33.7
115,2155,254,38,476,1064,71.3
86,2140,317,31,857,840,26
18,3450,423,42,569,825,28.1
94,1935,257,26,1100,500,52
94,2025,265,33,555,514,21.1
10,1920,223,36,655,910,38.2
108,2830,434,35,552,777,29.5
218,1925,0,0,0,218,27.7
205,1810,0,0,0,205,51.3
205,1850,0,0,195,205,80.4
183,1625,1,2,0,227,31.3
216,1910,0,0,0,216,36.5
218,1925,0,0,0,218,19.8
