ID,q1,q4,q5,q6,qi6,q7,qi7,q8,qi8,q9,qi9,q10,qi10,q11,q12,qi12,q13,qi13,q14,qi14,q15,qi15,q16,qi16,q17,q18,qi18,q19,qi19,q20,qi20,q21,qi21,q22,qi22,q23,qi23,q24,qi24,q25,q26,qi26,q27,qi27,q28,qi28,q29,qi29,q30,qi30,q31,q32,qi32,q33,qi33,q34,qi34,q35,qi35,q36,qi36,q37,qi37,q38,q39,q40,q41,qi41,q42,q43,q44,q45,qi45,q46,qi46,q47,qi47,q48,qi48,q49,q50,qi50,q51,qi51,q52,qi52,q53,qi53,q54,qi54,q55,qi55,q56,qi56,q57,q58,qi58,q59,qi59,q60,qi60,q61,qi61,q62,qi62,q63,qi63,q64,qi64,q65,q66,qi66,q67,q68,q70,q71,q72,q73,q74,q75,q76,q77,q78,q79,q80,q81,var1,var3,var4,var6,var9,var11,customerSeniority,country
55,4,4,3,4,3,4,3,4,3,4,3,0,,4,0,,0,,0,,0,,0,,,4,3,4,3,4,3,2,3,4,3,2,3,4,3,3,5,3,5,3,5,3,4,3,4,3,4,4,2,4,2,3,2,4,3,4,3,4,3,4,1,2,4,3,4,,2,,,,,,,,,,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,4,3,4,3,4,3,4,3,0,,4,2,4,2,4,,,,1,4,4,4,4,4,4,,4,,,,,2,5,4,2,2,3,2,UK
56,2,3,3,5,3,5,3,3,3,5,3,0,,4,2,3,1,3,1,3,0,,0,,1,5,3,5,3,5,3,5,3,0,,4,3,5,3,5,5,,0,,0,,0,,0,,,0,,2,3,0,,0,,4,3,0,,3,1,,,,,3,1,3,3,2,3,3,3,,,3,5,,5,,5,,0,,1,3,2,,4,3,,1,3,3,3,3,3,3,3,0,,0,,0,,,,,,10,4,4,4,4,2,4,,4,4,3,,,2,3,1,4,3,1,4,Germany
57,4,4,3,3,3,4,2,2,3,3,3,0,,3,2,3,4,2,4,2,4,2,3,2,4,3,3,4,3,4,2,4,3,3,1,3,3,4,3,4,0,,0,,0,,0,,0,,3,,,0,,0,,2,3,0,,0,,3,,,,,,,2,,,,,,,,,,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3,3,2,3,2,3,3,0,,0,,2,3,2,3,3,,,,2,4,4,3,4,4,2,3,3,3,3,4,3,2,3,2,3,3,1,3,Germany
58,3,3,3,4,3,5,3,3,3,3,2,4,3,4,4,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,4,3,3,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,0,,0,,3,3,3,3,3,1,2,3,3,3,3,1,3,3,4,3,2,3,2,3,2,4,3,4,3,2,3,4,3,4,3,4,3,4,3,4,3,3,3,2,3,3,3,2,3,3,0,,3,3,3,3,3,3,4,4,3,3,4,5,5,5,5,4,5,4,5,2,3,2,1,1,3,1,Germany
59,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,2,2,2,3,3,3,2,4,3,4,2,3,2,3,3,3,2,3,2,5,2,3,4,3,4,3,4,3,4,3,4,3,4,3,2,3,2,4,2,4,2,4,2,4,2,4,2,,,,,3,1,4,2,4,2,4,2,4,2,4,5,1,5,1,5,1,0,,0,,5,1,3,2,4,2,3,2,3,5,2,2,2,0,2,3,2,2,3,2,3,3,4,4,5,5,3,5,5,5,5,3,5,3,3,5,2,3,,1,3,7,1,Germany
60,2,1,3,4,3,4,3,4,3,4,2,4,3,4,2,3,3,3,1,3,4,3,4,3,3,3,3,3,3,2,3,2,3,4,3,2,3,4,3,3,4,3,4,3,3,3,2,3,2,3,3,4,3,4,3,1,3,2,3,4,3,4,3,3,2,,,,,,1,3,2,5,3,2,2,2,2,3,4,2,4,3,4,3,2,3,3,2,3,2,3,2,,4,2,4,3,4,3,3,2,0,,2,3,3,3,3,2,3,1,8,5,5,,5,5,5,5,,4,4,4,5,2,1,2,1,2,1,1,Benelux
61,3,3,3,4,3,4,3,4,3,2,3,3,3,3,3,3,4,3,4,3,2,3,3,2,4,3,3,3,3,4,3,2,3,1,3,1,3,3,3,2,4,3,3,3,2,3,2,2,2,,2,0,,0,,0,,0,,0,,0,,,1,1,4,3,4,1,1,4,2,5,3,5,2,,,4,,,,,,,,,,,,,,,,3,2,3,2,3,2,3,2,0,,1,3,4,3,3,,,,10,4,4,3,4,4,4,3,3,3,3,2,,2,5,4,2,1,2,2,UK
62,2,2,4,4,3,2,3,1,3,1,3,0,,2,1,3,1,3,4,2,1,1,4,1,2,1,3,3,3,3,2,1,2,1,3,1,3,1,3,1,0,,0,,0,,3,3,1,,2,1,,1,,0,,1,,0,,1,,1,2,,,,,1,2,,,,,,,,,,1,,3,,4,,4,,1,,3,,1,,2,1,,1,,3,,1,,0,,1,,1,,1,,,,12,,,,,,,,,,,,,2,5,2,4,,1,4,UK
63,1,1,2,3,3,1,3,3,3,4,3,0,,3,0,,1,3,0,,0,,0,,1,4,3,4,3,4,3,4,3,4,3,3,3,4,3,4,0,,0,,0,,0,,0,,,3,3,0,,0,,5,3,3,3,0,,3,2,,,,,2,1,3,3,4,3,4,3,2,1,3,2,2,4,2,4,2,0,,1,3,3,3,3,3,2,4,3,4,3,4,3,2,3,0,,1,3,3,3,1,,,,10,4,5,5,5,5,3,4,4,4,4,4,5,2,5,2,2,1,1,2,UK
64,1,1,1,3,3,2,3,3,3,1,3,,3,1,1,3,1,3,1,3,,3,,3,1,1,3,2,3,2,3,1,3,1,3,1,3,4,3,1,0,,0,,0,,0,,0,,,0,,0,,0,,4,3,4,3,0,,3,2,,,,,,1,2,3,4,3,2,2,1,1,2,3,3,5,3,5,3,2,3,1,3,4,3,2,3,2,2,3,2,3,4,3,1,3,2,3,1,3,1,3,1,,,,,,,,,,,,,,,,,2,5,1,3,,1,3,UK
65,3,1,3,3,2,3,2,3,3,3,3,3,3,3,1,3,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3,4,2,3,3,1,3,4,3,3,4,2,4,2,4,2,4,2,,,4,3,2,2,3,,,3,2,2,3,,,2,2,,,,,3,1,,1,3,2,3,2,3,2,3,3,2,3,2,4,2,2,2,1,2,3,2,1,2,2,4,2,3,3,4,2,2,3,3,2,2,3,3,3,3,,,,2,3,3,3,3,4,5,4,3,4,4,3,5,2,1,3,5,2,1,5,Benelux
66,4,5,5,4,3,3,2,3,2,3,3,4,2,4,4,3,3,2,4,3,4,3,3,2,5,3,3,5,3,5,3,2,2,2,3,2,2,4,2,3,3,3,3,2,4,3,3,2,4,3,3,3,2,3,2,2,1,2,2,4,2,4,3,3,1,1,3,2,3,2,1,2,2,2,1,3,2,2,1,2,4,3,4,3,3,2,3,2,4,3,4,2,5,3,4,3,2,3,3,3,3,3,2,2,1,3,2,4,3,3,,,,11,,,,,,,,,,,,,2,3,4,5,2,2,5,Germany
67,4,4,4,3,3,5,3,4,3,3,3,4,3,4,4,3,2,3,3,3,4,3,3,2,4,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,3,3,3,4,3,3,3,4,3,3,3,3,2,3,1,3,2,3,5,3,4,3,2,2,,,,,,1,4,3,4,3,5,3,4,3,4,3,3,3,3,4,3,4,3,4,3,4,3,3,3,4,4,3,3,3,4,3,4,3,2,3,0,,5,3,3,5,3,5,6,3,3,2,3,3,3,3,3,3,3,3,3,2,5,4,1,1,2,1,UK
68,3,3,3,3,3,3,3,3,3,3,3,,,3,0,,1,,0,,0,,0,,1,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,,0,,0,,0,,0,,,4,3,4,3,0,,5,3,4,3,4,3,4,1,1,4,3,4,3,1,3,2,5,3,3,2,3,2,4,5,2,5,2,3,2,5,,0,,0,,0,,4,2,3,2,3,2,3,2,3,2,3,1,3,2,3,1,,,,11,,,,,,,,,,,,,2,4,1,4,2,1,4,Italy
69,4,3,4,4,2,4,3,4,2,4,2,0,,4,0,,0,,0,,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,0,,0,,0,,0,,0,,,0,,0,,0,,0,,0,,0,,,2,,,,,1,1,3,1,3,1,3,1,2,1,2,1,3,4,3,4,3,4,3,4,3,3,,1,3,3,3,3,3,3,2,3,3,3,0,,0,,3,3,4,,,,12,,,,,,,,,,,,,2,3,3,2,2,1,2,Germany
70,4,4,3,4,2,4,1,2,2,3,2,,,3,3,3,4,1,4,2,3,2,3,2,3,2,3,3,2,,,4,3,2,3,2,3,4,2,2,0,,0,,0,,0,,0,,,4,2,0,,3,2,4,2,2,3,2,3,3,2,,,,,,1,,,3,2,,,,,3,4,1,4,2,,2,0,,0,,0,,0,,4,4,2,2,3,3,2,0,,0,,0,,4,2,2,,,,12,,,,,,,,,,,,,2,2,1,3,2,1,3,France
71,3,3,2,2,2,4,3,3,,2,2,,,,3,2,2,1,2,3,4,2,5,2,,1,3,1,3,2,3,3,3,1,3,1,3,3,3,1,,,4,3,5,3,4,3,,,4,,,4,2,4,2,,,3,2,4,2,4,,,,,,,2,,,,,,,,,,4,3,1,3,1,3,2,2,1,2,3,2,1,3,1,4,3,2,3,5,2,2,2,2,2,1,3,1,3,2,,,,,5,5,5,4,5,4,4,5,4,4,4,,2,3,1,5,3,1,5,Germany
72,3,3,3,4,3,5,,4,3,4,3,,3,4,1,,1,,2,,3,,2,,2,4,,5,,4,,5,,2,,4,,5,,4,4,,4,,5,,5,,5,,4,4,,5,,0,,5,,3,,,,4,2,,,,,2,1,3,,5,,5,,3,,4,5,,5,,5,,5,,5,,5,,5,,5,4,,4,,,,4,,4,,2,,3,,2,,,,11,,,,,,,,,,,,,2,4,3,3,2,1,3,Italy
73,4,5,5,4,3,4,3,4,3,4,3,0,,4,4,3,4,3,4,3,4,3,4,3,4,4,3,5,3,5,3,5,3,4,3,4,3,5,3,5,4,3,4,3,0,,0,,4,3,4,3,3,4,3,4,3,4,3,3,3,3,3,4,2,,,,,4,1,3,2,4,3,4,3,4,3,4,4,2,4,3,4,3,4,3,4,3,5,3,4,3,4,4,3,4,3,0,,4,3,0,,3,3,4,3,3,,,,11,,,,,,,,,,,,,2,3,1,4,2,4,4,Germany
74,4,4,4,5,3,3,2,4,2,3,2,4,3,4,5,3,5,3,5,3,4,2,4,3,5,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,5,3,5,3,5,3,5,3,5,3,5,4,,4,,0,,5,,0,,0,,5,2,,,,,,2,,,,,,,,,,0,,0,,0,,0,,0,,5,,0,,,5,,4,,5,,5,,0,,0,,4,,4,4,3,5,4,5,5,1,,,,,,,,,,2,6,,1,2,1,1,Israel
75,3,3,3,4,3,3,3,3,3,3,3,,,3,1,,1,,2,,1,,3,,1,4,3,5,3,5,3,4,3,4,3,3,3,5,3,4,4,3,4,3,3,3,4,3,0,,4,2,,0,,0,,3,3,1,3,0,,3,2,,,,,1,1,3,2,5,2,2,1,2,3,3,,,,,,,,,,,,,,,,3,,3,,3,,4,,0,,2,,3,,3,,,,11,,,3,,,,,,,,,,2,5,2,3,2,2,3,UK
76,4,4,4,4,3,3,3,4,3,4,3,0,,4,3,3,2,2,3,3,3,3,3,2,3,4,3,4,3,4,3,4,3,2,3,3,3,5,3,4,4,3,4,3,4,3,3,3,4,3,4,3,3,0,,0,,2,3,0,,0,,3,1,2,1,3,1,,1,3,2,4,3,3,1,2,2,3,5,3,5,3,5,3,5,3,4,3,4,3,4,3,,4,3,4,3,4,3,3,3,0,,3,3,4,3,4,,,,12,,,,,,,,,,,,,2,5,,2,,4,2,UK
77,4,5,5,5,3,5,3,5,3,4,3,4,3,5,3,3,3,3,5,3,4,3,5,3,4,3,3,5,3,4,3,3,3,3,3,3,3,,,3,4,3,4,3,4,3,4,3,4,3,4,3,2,3,2,3,3,4,3,3,2,3,2,4,2,,,,,,2,,,,,,,,,,3,2,2,3,2,3,4,3,3,3,5,3,3,3,3,4,3,4,3,4,3,4,3,0,,4,3,5,3,4,,,,11,,,1,,,,,,,,,,2,5,3,3,1,2,3,UK
78,4,4,5,3,3,4,3,2,3,5,3,0,,4,4,3,4,2,4,2,4,3,3,2,4,1,3,3,3,4,2,4,3,3,3,1,3,4,2,3,0,,0,,0,,0,,0,,,2,3,0,,0,,4,3,4,3,0,,3,2,,,,,3,1,2,2,4,3,2,1,1,2,3,3,1,3,3,3,2,0,,1,3,3,2,2,3,3,4,3,2,3,4,2,2,3,3,2,2,3,3,3,3,,,,11,,,,,,,,,,,,,2,1,1,5,3,5,5,Benelux
79,3,3,2,2,3,1,3,1,3,1,3,,,2,0,,2,,3,,1,,1,,2,1,3,2,3,2,3,3,3,1,3,2,3,4,2,1,0,,0,,0,,0,,0,,,1,3,1,3,0,,4,3,1,3,1,3,1,1,2,0,,3,3,1,2,2,5,,4,3,1,2,4,3,3,3,3,2,3,3,3,1,3,4,2,3,,2,1,3,1,3,3,3,1,3,0,1,1,3,1,3,1,,,,12,,,,,,,,,,,,,2,4,1,4,2,1,4,Italy
80,3,3,4,3,3,2,1,3,2,3,2,,,3,3,2,5,3,5,3,4,2,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,3,2,3,2,3,2,4,2,3,2,2,2,2,4,1,4,3,2,2,2,2,,2,,,,,3,2,,,,,,,,,,5,3,5,3,5,3,3,3,4,3,5,3,5,3,4,4,2,3,3,4,2,2,3,1,1,1,3,3,3,2,,,,12,,,,,,,,,,,,,2,2,3,3,,1,3,France
81,3,4,5,4,2,3,3,3,3,4,3,4,3,4,4,3,5,2,5,2,5,2,5,3,4,2,,2,,2,,2,,1,,1,,4,,1,4,3,4,2,4,2,4,3,4,2,4,3,3,3,2,3,1,4,3,3,3,0,,3,1,2,5,3,5,5,1,3,2,4,3,5,3,3,3,4,3,2,3,1,1,3,4,3,4,3,4,3,4,3,4,4,3,2,3,4,3,3,3,2,3,2,3,4,3,3,,,,4,4,4,4,4,4,5,4,4,5,4,2,,2,1,2,2,2,1,2,Benelux
82,3,4,4,3,3,2,1,3,2,4,2,3,2,3,1,3,2,1,4,2,4,2,4,2,3,3,3,4,3,3,2,3,2,3,2,3,3,4,2,3,4,2,4,2,4,2,4,3,4,2,4,4,3,4,2,0,,4,3,2,3,2,3,3,1,2,4,2,4,,1,5,3,5,3,,,,,4,5,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,1,3,1,4,1,2,1,1,1,1,2,2,2,2,,,,1,3,4,4,4,3,4,4,4,3,4,3,4,2,5,1,3,2,2,3,UK
83,2,3,3,3,,2,,1,,1,,0,,2,1,,1,,1,,3,,3,,1,3,,3,,4,,3,,3,,2,,2,,2,5,,4,,3,,3,,0,,4,3,3,4,2,0,,4,3,4,2,0,,4,2,,,,,,2,,,,,,,,,,3,,3,,3,,4,,1,,0,,1,,2,4,1,2,3,4,1,2,3,2,1,2,3,3,3,2,,,,8,5,5,3,5,4,4,5,4,4,3,4,5,2,5,1,4,3,2,4,UK
84,3,3,1,2,3,3,3,2,3,3,3,,,3,2,3,1,3,2,3,3,3,4,3,2,4,3,5,3,5,3,2,3,1,3,1,3,5,3,4,4,2,4,2,4,2,1,3,1,3,2,2,3,2,3,3,3,4,3,2,3,2,3,2,2,,,,,1,1,2,1,4,3,4,3,3,2,3,5,3,5,3,5,3,5,3,1,3,5,3,5,3,4,5,3,2,3,5,3,4,3,4,3,1,3,3,3,3,,,,12,,,,,,,,,,,,,2,4,2,4,2,1,4,Italy
85,3,4,3,3,3,0,,2,3,4,2,0,,3,5,2,5,2,5,2,5,2,5,2,5,4,3,5,3,5,2,5,3,4,2,4,2,5,2,5,0,,0,,4,3,0,,0,,4,3,2,0,,0,,4,3,4,2,3,2,3,2,,,,,,1,3,2,4,2,3,2,3,2,3,5,1,5,2,5,2,4,2,5,2,5,2,4,2,5,4,2,2,2,0,,2,2,0,,3,2,3,3,3,,,,11,,,,,,,,,,,,,2,3,1,5,2,1,5,Germany
86,2,1,2,4,,2,,3,,2,,0,,3,2,,3,,2,,3,,2,,2,3,,3,,2,,1,,1,,1,,4,,1,0,,0,,0,,0,,0,,4,2,,0,,0,,1,,4,,4,,3,1,,3,,3,3,1,4,,4,,1,,2,,3,4,,4,,2,,1,,1,,2,,2,,1,3,,3,,2,,2,,0,,1,,2,,1,,,,4,4,4,4,4,4,4,4,3,4,4,3,4,2,5,2,2,1,1,2,UK
87,3,2,3,3,3,2,2,3,3,5,2,3,3,3,1,3,1,2,1,3,0,,0,,1,3,3,3,3,4,3,5,3,1,3,1,3,5,1,2,0,,0,,4,3,0,,4,3,4,2,2,3,2,0,,3,3,0,,0,,3,2,,,,,3,1,5,2,5,2,5,3,,,5,5,1,5,1,5,1,5,1,3,1,3,1,4,1,4,5,1,3,1,4,1,4,1,3,1,1,3,3,3,3,,,,11,,,,,,,,,,,,,2,4,1,2,2,1,2,Italy
88,5,5,5,4,3,4,3,4,3,4,3,0,,4,5,3,5,3,5,3,5,3,5,3,5,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,0,3,0,3,0,,0,,0,,4,4,3,3,3,3,2,4,3,4,3,0,,4,2,,,,,,1,3,3,,,4,3,,,4,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,5,3,4,3,4,3,4,3,3,3,0,,4,3,4,,,,1,4,3,3,4,3,5,4,4,4,4,3,4,2,6,,2,2,2,2,Israel
89,3,4,4,4,3,4,3,3,3,4,3,0,,4,4,3,2,2,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,4,2,3,4,3,4,3,4,3,4,3,4,3,4,4,3,0,,0,,4,3,5,3,4,3,4,1,1,3,3,3,,1,5,3,4,3,3,3,3,2,4,5,2,4,3,5,2,2,3,3,3,5,2,2,3,4,5,3,4,3,5,3,3,3,2,3,2,3,4,3,4,,,,10,4,5,,5,5,5,4,3,5,4,4,,2,5,1,2,1,1,2,UK
90,1,1,1,3,2,1,2,1,3,2,2,0,,1,3,3,1,2,3,3,2,2,1,2,1,3,3,5,3,4,3,3,3,1,3,3,3,5,3,5,0,,0,,0,,0,,0,,,3,3,1,3,0,,3,3,3,3,3,3,3,2,,,,,4,2,,,,,,,,,,3,3,3,3,3,3,2,3,1,3,3,3,1,3,2,3,3,1,3,3,3,1,3,1,3,1,3,1,3,1,,,,4,5,5,5,4,3,3,3,3,3,3,3,3,2,5,1,3,3,1,3,UK
91,3,3,3,2,3,4,3,2,3,2,3,0,,3,2,2,4,2,4,2,3,2,3,2,3,3,3,4,3,3,3,1,3,2,2,2,3,4,3,3,3,2,3,2,4,3,4,3,3,2,3,4,3,4,2,0,,2,3,2,2,4,2,3,1,2,3,3,3,3,1,3,2,4,3,5,2,3,2,3,5,1,3,3,0,,1,3,1,3,4,2,3,2,2,4,2,2,2,3,2,1,2,3,2,1,3,3,3,1,,,,11,,,,,,,,,,,,,2,3,3,3,2,1,3,Germany
92,3,3,5,4,3,0,,4,3,2,3,3,3,3,1,3,1,3,2,3,2,3,3,1,3,3,3,3,3,2,3,2,3,1,3,1,3,3,3,2,5,3,5,3,5,3,5,3,5,3,5,3,3,3,1,0,,5,3,5,3,3,2,4,2,,,,,4,1,2,2,4,3,3,2,3,3,3,4,3,4,3,4,3,4,3,0,,0,,1,3,4,4,2,3,3,4,3,3,3,1,1,2,3,3,3,3,2,3,3,2,4,4,2,4,1,5,1,3,4,3,1,,2,5,,1,2,4,1,UK
93,4,4,4,4,3,3,2,4,3,4,3,4,3,4,3,3,4,2,2,2,3,1,4,1,4,2,3,3,3,3,2,4,3,2,2,2,3,4,2,2,3,2,3,2,4,3,4,2,4,3,4,4,2,3,1,2,1,3,2,4,3,4,3,3,1,2,4,3,3,2,1,3,2,2,2,2,1,2,1,2,3,1,3,1,3,1,3,2,4,1,4,2,2,1,3,3,2,4,2,3,2,3,3,2,2,2,2,3,3,3,4,3,4,4,4,4,3,4,4,4,3,4,4,4,3,5,2,5,1,1,2,2,1,UK
94,3,3,3,4,3,4,3,4,3,4,3,4,3,4,2,,2,,3,,3,,3,,3,3,3,3,3,3,3,5,3,3,3,3,3,4,3,4,4,3,4,3,5,3,4,3,,,4,0,,4,3,0,,5,3,5,3,0,,4,1,1,3,,2,2,1,5,3,5,3,5,3,5,3,5,4,,4,,4,,4,,,,4,,4,,3,4,,3,,4,,3,,3,,2,,3,,3,2,,2,12,,,,,,,,,,,,,2,4,,1,,2,1,Italy
95,3,4,5,4,3,4,3,3,3,3,3,0,3,4,5,3,5,3,5,3,4,3,4,3,5,2,3,3,3,3,3,2,3,1,3,1,3,4,3,2,,,,,,,,,,,,4,3,0,,3,3,3,3,1,3,4,3,3,,,,,,,1,3,1,4,3,3,2,2,2,3,1,3,1,3,1,3,3,3,2,3,3,3,3,3,3,5,3,3,3,4,3,3,3,,,1,3,4,3,3,,,,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,4,5,,1,5,France
96,3,3,2,3,3,4,2,3,3,4,2,0,,3,0,,0,,0,,0,,0,,,4,3,4,3,4,2,5,3,4,3,4,3,5,3,4,4,2,4,2,0,,0,,0,,4,4,3,4,3,0,,5,3,3,3,3,3,4,1,2,4,3,4,4,1,3,1,4,3,3,2,,,3,3,1,4,2,4,2,3,2,2,3,2,3,3,2,3,3,3,3,,3,2,3,2,0,,2,3,2,2,2,,,,7,4,4,4,3,4,4,4,4,4,3,3,,2,3,1,2,3,5,2,Germany
97,5,3,5,5,3,3,2,4,3,5,3,,,5,4,2,4,2,4,2,4,2,4,2,4,5,3,5,3,5,3,4,3,5,3,5,3,5,3,5,4,3,5,3,5,3,0,,0,,5,4,2,4,2,0,,5,3,4,2,4,2,5,1,,,,,3,1,3,2,4,2,5,3,4,2,4,4,3,4,3,4,3,4,2,4,2,5,3,5,3,5,5,2,4,2,0,,4,2,4,2,2,1,5,3,5,,,,4,2,3,1,2,1,3,2,2,2,2,2,3,2,4,1,4,1,1,4,Italy
98,1,1,2,1,3,1,3,1,3,1,3,0,,1,1,3,1,3,1,3,4,3,3,3,2,,3,4,3,4,3,5,3,4,3,3,3,5,3,4,3,3,4,3,5,3,0,,4,,4,0,,2,3,0,,,,1,3,1,3,3,2,,,,,,1,2,2,4,3,4,2,1,1,3,5,1,5,3,5,3,5,3,3,3,5,3,5,3,5,5,3,2,3,5,3,0,,0,,1,3,1,3,3,,,,9,5,5,5,5,5,5,5,5,5,5,5,5,2,3,1,5,2,1,5,Germany
,4,5,5,4,3,5,3,3,3,3,3,5,3,4,0,,4,3,4,3,3,3,5,3,4,4,3,5,3,5,3,4,3,1,3,4,3,5,3,4,4,3,4,3,4,3,3,3,3,3,4,4,3,4,3,4,3,4,3,2,3,0,,4,1,1,4,3,4,4,1,2,3,4,3,3,3,3,,3,4,2,4,2,1,3,4,3,3,2,4,3,3,3,3,4,3,4,3,4,3,4,3,0,,3,3,5,3,4,,,,4,4,4,3,4,5,4,3,,4,2,4,5,2,3,4,4,1,2,4,Germany
100,5,5,5,4,3,5,3,5,3,4,3,4,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,5,3,5,3,4,3,3,3,3,3,5,3,4,5,3,5,3,5,3,5,3,5,3,5,5,3,5,3,4,3,4,3,4,3,4,3,4,1,2,5,3,5,1,1,5,3,5,3,4,3,4,3,4,5,2,5,2,4,2,4,2,4,2,4,2,4,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,,,,10,4,4,4,4,4,3,4,4,4,4,4,4,2,4,2,3,2,5,3,Italy
101,2,2,2,4,3,3,3,4,3,2,3,,,3,0,,1,3,1,3,2,3,3,3,2,1,3,2,3,2,3,1,3,1,3,1,3,4,3,2,0,,0,,0,,0,,0,,,3,3,3,3,2,3,3,3,2,3,,,3,1,1,4,3,4,,1,3,3,3,3,3,3,3,3,,3,,3,,3,,2,,2,,4,,1,,3,3,,3,,1,,,,0,,1,,2,,2,,,,1,4,4,4,5,5,5,4,4,3,4,4,3,2,1,2,5,2,1,5,Benelux
102,4,5,5,4,3,4,3,3,3,4,3,0,,4,3,3,2,3,2,3,3,3,3,3,2,5,3,5,3,5,3,4,3,2,3,4,3,5,3,5,0,,0,,0,,0,,0,,,4,3,4,3,0,,5,3,2,3,0,,3,1,1,3,2,3,3,1,3,2,5,3,4,2,3,2,4,4,1,3,3,2,3,2,3,3,3,4,2,4,2,3,4,3,3,3,4,3,3,3,1,1,3,3,4,3,3,,,,4,5,5,1,4,5,4,3,4,5,5,2,4,2,3,1,5,3,2,5,Germany
103,5,5,5,4,3,3,3,3,3,5,3,0,,4,4,3,3,2,3,2,3,2,3,2,3,5,3,5,3,5,3,3,3,2,3,4,3,5,3,4,0,,0,,0,,0,,0,,,4,3,4,3,5,3,5,3,3,3,0,,4,2,,,,,3,1,2,2,5,3,2,2,3,2,3,4,3,2,3,2,3,2,3,3,3,3,3,3,3,2,4,3,4,3,4,3,4,3,1,2,4,3,4,3,4,,,,11,,,,,,,,,,,,,2,3,1,5,2,1,5,Germany
104,4,5,5,4,3,3,3,4,3,5,3,0,,3,4,3,3,2,3,2,3,3,3,3,3,5,3,5,3,5,3,2,3,2,3,4,3,5,3,5,0,,0,,0,,0,,0,,,3,3,3,3,0,,4,3,3,3,0,,3,2,,,,,3,1,3,3,5,3,4,3,3,3,4,4,3,3,3,2,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,3,3,3,3,,,,12,,,,,,,,,,,,,2,3,1,2,1,4,2,Germany
105,,,,4,,3,,3,,2,,0,,4,4,3,5,3,5,3,5,3,5,3,5,4,3,4,3,3,2,3,3,3,2,1,3,5,3,2,4,3,4,3,3,3,3,3,0,,4,2,2,4,3,0,,3,3,3,3,2,3,,1,2,4,3,4,4,1,4,2,5,3,4,2,4,2,4,4,3,4,2,3,2,4,2,4,3,5,2,5,3,4,3,2,3,3,3,2,3,2,3,2,0,,4,3,4,,,,4,5,5,1,4,4,4,5,4,4,4,4,4,2,5,1,2,1,7,2,UK
106,4,4,5,4,3,4,3,5,3,4,2,0,,4,5,2,2,3,4,3,5,2,3,2,2,5,3,5,3,2,2,5,3,0,,4,3,5,2,4,4,3,4,3,0,,0,,4,3,3,3,2,0,,0,,5,3,2,3,2,3,3,2,,,,,2,1,,,5,3,3,3,,,3,2,3,2,3,3,3,2,3,3,3,4,2,2,3,2,4,3,3,2,5,3,2,2,0,,0,,4,3,3,,,,,,,,,,,,,,,,,2,5,1,2,1,2,2,UK
107,4,4,4,4,3,3,2,3,3,4,3,0,,4,3,3,4,2,4,2,3,2,4,3,4,3,3,4,3,3,3,3,3,2,3,3,3,5,3,4,1,3,1,3,1,3,0,,2,3,1,2,3,2,3,0,,2,3,2,3,2,3,2,1,2,3,2,2,,1,3,2,3,2,3,2,2,1,3,3,3,4,3,4,3,1,3,2,3,4,3,4,3,3,3,2,1,3,3,2,1,3,1,2,1,3,2,3,1,,,,10,4,5,,4,,4,,,,3,,,2,5,1,2,2,1,2,UK
108,4,5,5,4,3,4,3,5,3,5,3,0,,4,0,,0,,0,,0,,0,,,5,3,5,3,5,3,4,3,2,3,4,3,5,3,5,0,,0,,0,,0,,0,,,3,3,3,3,2,3,3,3,4,3,0,,3,2,,,,,3,1,5,2,5,3,3,2,,,4,5,3,5,3,4,3,3,3,0,,4,1,2,3,3,4,3,4,3,4,3,3,2,0,,4,3,5,3,4,,,,10,,,,,,,,,,,,,2,3,2,5,1,4,5,Germany
109,4,5,5,4,3,4,3,5,3,5,3,0,,4,0,,0,,0,,0,,0,,,5,3,5,3,5,3,4,3,2,3,5,3,5,3,5,0,,0,,0,,0,,0,,,3,3,3,3,2,3,3,3,4,3,0,,3,2,,,,,3,1,5,2,5,3,3,2,,,4,5,3,5,3,4,3,3,3,0,,4,1,2,2,4,4,3,4,3,4,3,3,2,0,,4,3,5,3,4,,,,10,,,,,,,,,,,,,2,3,4,3,1,4,3,Germany
